"Gemeenten";"Werkloosheidspercentage|2003"
"Son en Breugel";3,8
"Stadskanaal";6,1
"Staphorst";3,4
"Stede Broec";3,6
"Steenbergen";4,1
"Steenwijkerland";4,7
"Stein";4,3
"Stichtse Vecht";3,9
"Súdwest-Fryslân";4,8
"Terneuzen";4,7
"Terschelling";3,8
"Texel";3,8
"Teylingen";3,1
"Tholen";4,0
"Tiel";5,2
"Tilburg";5,2
"Tubbergen";3,3
"Twenterand";4,4
"Tynaarlo";4,0
"Tytsjerksteradiel";4,5
"Uitgeest";3,3
"Uithoorn";3,6
"Urk";3,7
"Utrecht";5,7
"Utrechtse Heuvelrug";3,8
"Vaals";6,2
"Valkenburg aan de Geul";4,4
"Valkenswaard";4,5
"Veendam";5,7
"Veenendaal";4,3
"Veere";3,3
"Veldhoven";4,3
"Velsen";3,8
"Venlo";5,6
"Venray";4,3
"Vijfheerenlanden";4,1
"Vlaardingen";5,1
"Vlieland";4,5
"Vlissingen";5,4
"Voerendaal";4,3
"Voorschoten";3,7
"Voorst";3,5
"Vught";3,9
"Waadhoeke";4,6
"Waalre";4,1
"Waalwijk";4,2
"Waddinxveen";3,9
"Wageningen";5,1
"Wassenaar";3,8
"Waterland";3,1
"Weert";4,9
"West Betuwe";3,5
"West Maas en Waal";3,7
"Westerkwartier";4,5
"Westerveld";4,2
"Westervoort";4,6
"Westerwolde";5,5
"Westland";3,1
"Weststellingwerf";4,7
"Westvoorne";3,5
"Wierden";3,7
"Wijchen";3,8
"Wijdemeren";3,7
"Wijk bij Duurstede";3,6
"Winterswijk";4,3
"Woensdrecht";4,3
"Woerden";3,5
"Wormerland";3,4
"Woudenberg";3,3
"Zaanstad";4,5
"Zaltbommel";3,7
"Zandvoort";4,4
"Zeewolde";3,7
"Zeist";4,6
"Zevenaar";4,4
"Zoetermeer";4,6
"Zoeterwoude";3,0
"Zuidplas";3,5
"Zundert";3,6
"Zutphen";5,0
"Zwartewaterland";3,5
"Zwijndrecht";4,3
"Zwolle";4,7
