"Gemeenten";"Huishoudens met inkomen ten minste 1 jaar tot 101% sociaal minimum|2011"
"Soest";4,8
"Someren";4,5
"Son en Breugel";3,4
"Stadskanaal";6,7
"Staphorst";3,3
"Stede Broec";3,9
"Steenbergen";4,3
"Steenwijkerland";5,4
"Stein";3,9
"Stichtse Vecht";4,2
"Súdwest-Fryslân";6,0
"Terneuzen";5,6
"Terschelling";5,2
"Texel";5,6
"Teylingen";3,1
"Tholen";4,4
"Tiel";5,9
"Tilburg";8,2
"Tubbergen";3,6
"Twenterand";3,9
"Tynaarlo";3,8
"Tytsjerksteradiel";4,3
"Uitgeest";2,9
"Uithoorn";3,8
"Urk";4,3
"Utrecht";8,5
"Utrechtse Heuvelrug";4,4
"Vaals";10,2
"Valkenburg aan de Geul";6,8
"Valkenswaard";4,8
"Veendam";6,4
"Veenendaal";5,3
"Veere";3,6
"Veldhoven";3,8
"Velsen";5,3
"Venlo";7,5
"Venray";5,7
"Vijfheerenlanden";4,4
"Vlaardingen";7,5
"Vlieland";7,4
"Vlissingen";7,8
"Voerendaal";3,4
"Voorschoten";4,0
"Voorst";3,5
"Vught";4,5
"Waadhoeke";5,4
"Waalre";3,7
"Waalwijk";5,1
"Waddinxveen";3,8
"Wageningen";6,6
"Wassenaar";5,0
"Waterland";3,7
"Weert";5,5
"West Betuwe";3,6
"West Maas en Waal";3,7
"Westerkwartier";4,7
"Westerveld";4,7
"Westervoort";5,8
"Westerwolde";5,4
"Westland";4,0
"Weststellingwerf";5,7
"Westvoorne";3,5
"Wierden";3,5
"Wijchen";4,6
"Wijdemeren";4,4
"Wijk bij Duurstede";3,5
"Winterswijk";5,3
"Woensdrecht";4,2
"Woerden";3,4
"Wormerland";4,0
"Woudenberg";3,0
"Zaanstad";6,2
"Zaltbommel";4,5
"Zandvoort";7,9
"Zeewolde";4,5
"Zeist";6,1
"Zevenaar";4,8
"Zoetermeer";5,8
"Zoeterwoude";2,6
"Zuidplas";3,6
"Zundert";4,5
"Zutphen";7,0
"Zwartewaterland";3,5
"Zwijndrecht";5,1
"Zwolle";6,4
