"Gemeenten";"Gemeenteraad - Opkomst|1990";"Gemeenteraad - Opkomst|1994";"Gemeenteraad - Opkomst|1998"
"Land van Cuijk";73,9;65,7;66,0
"Landgraaf";68,0;73,4;65,3
"Landsmeer";56,0;70,5;71,7
"Lansingerland";68,8;69,7;65,5
"Laren";70,8;66,7;64,8
"Leeuwarden";58,6;66,5;58,6
"Leiden";64,9;64,2;58,8
"Leiderdorp";63,6;67,0;62,6
"Leidschendam-Voorburg";55,0;67,8;62,1
"Lelystad";71,5;60,3;53,2
"Leudal";72,2;75,6;71,1
"Leusden";69,6;68,2;66,7
"Lingewaard";64,5;65,2;58,9
"Lisse";90,8;66,7;63,3
"Lochem";74,4;73,8;69,7
"Loon op Zand";71,2;68,0;60,1
"Lopik";72,9;68,6;68,6
"Losser";80,5;67,7;63,5
"Maasdriel";80,9;79,3;"-"
"Maasgouw";74,0;75,1;72,3
"Maashorst";68,4;66,8;65,0
"Maassluis";56,6;59,4;58,9
"Maastricht";85,9;60,5;51,9
"Medemblik";70,3;69,7;65,8
"Meerssen";74,5;82,6;77,1
"Meierijstad";66,3;63,3;63,0
"Meppel";69,1;69,1;55,1
"Middelburg";61,6;63,8;50,0
"Midden-Delfland";62,3;77,2;73,9
"Midden-Drenthe";73,5;73,4;61,9
"Midden-Groningen";63,1;65,9;63,4
"Moerdijk";63,6;65,7;51,9
"Molenlanden";77,7;79,4;78,8
"Montferland";70,2;70,6;63,9
"Montfoort";72,1;70,9;68,0
"Mook en Middelaar";69,4;71,5;67,7
"Neder-Betuwe";72,4;75,9;76,6
"Nederweert";67,9;75,6;72,0
"Nieuwegein";53,4;59,0;53,5
"Nieuwkoop";67,0;68,7;65,1
"Nijkerk";69,5;73,2;64,9
"Nijmegen";55,2;57,2;53,8
"Nissewaard";53,9;57,0;52,5
"Noardeast-Fryslân";72,8;71,4;67,0
"Noord-Beveland";73,1;"-";66,7
"Noordenveld";74,7;73,6;58,1
"Noordoostpolder";69,3;71,6;68,3
"Noordwijk";66,5;68,3;64,0
"Nuenen, Gerwen en Nederwetten";69,1;71,7;66,3
"Nunspeet";80,1;78,4;76,2
